ds,y
2023/7/29 10:00,9002
2023/7/29 10:01,8793
2023/7/29 10:02,8940
2023/7/29 10:03,8722
2023/7/29 10:04,8510
2023/7/29 10:05,8417
2023/7/29 10:06,8345
2023/7/29 10:07,8184
2023/7/29 10:08,8412
2023/7/29 10:09,8172
2023/7/29 10:10,8161
2023/7/29 10:11,7948
2023/7/29 10:12,8157
2023/7/29 10:13,8185
2023/7/29 10:14,7900
2023/7/29 10:15,7852
2023/7/29 10:16,7780
2023/7/29 10:17,7850
2023/7/29 10:18,8098
2023/7/29 10:19,7733
2023/7/29 10:20,7661
2023/7/29 10:21,7392
2023/7/29 10:22,7674
2023/7/29 10:23,7452
2023/7/29 10:24,7706
2023/7/29 10:25,7457
2023/7/29 10:26,7506
2023/7/29 10:27,7464
2023/7/29 10:28,7589
2023/7/29 10:29,7378
2023/7/29 10:30,7730
2023/7/29 10:31,7566
2023/7/29 10:32,7489
2023/7/29 10:33,7170
2023/7/29 10:34,7426
2023/7/29 10:35,7505
2023/7/29 10:36,7209
2023/7/29 10:37,7031
2023/7/29 10:38,7405
2023/7/29 10:39,7116
2023/7/29 10:40,7429
2023/7/29 10:41,6973
2023/7/29 10:42,7144
2023/7/29 10:43,7011
2023/7/29 10:44,6827
2023/7/29 10:45,6916
2023/7/29 10:46,6946
2023/7/29 10:47,7157
2023/7/29 10:48,6907
2023/7/29 10:49,6794
2023/7/29 10:50,6753
2023/7/29 10:51,6584
2023/7/29 10:52,6963
2023/7/29 10:53,6983
2023/7/29 10:54,6997
2023/7/29 10:55,6812
2023/7/29 10:56,6739
2023/7/29 10:57,6789
2023/7/29 10:58,6812
2023/7/29 10:59,7084
2023/7/29 11:00,7047
2023/7/29 11:01,6706
2023/7/29 11:02,6768
2023/7/29 11:03,6403
2023/7/29 11:04,6797
2023/7/29 11:05,6870
2023/7/29 11:06,6738
2023/7/29 11:07,6769
2023/7/29 11:08,6746
2023/7/29 11:09,6614
2023/7/29 11:10,6921
2023/7/29 11:11,6614
